codigo,descricao,codigo_classe
04148,CAIXA PASSAGEM                                                                                      ,5975
04149,CAIXA PLÁSTICA                                                                                      ,9330
04150,CAIXA DE TRANSPORTE DE BEBIDA ( ENGRADADO )                                                         ,8115
04151,CAIXA TRANSPORTE MOTOR                                                                              ,8115
04152,CAIXA DIRECAO - VEICULO AUTOMOTIVO                                                                  ,2530
04153,IMPLANTE GLÚTEO                                                                                     ,6515
04154,IMPLANTE TESTICULAR                                                                                 ,6515
04155,CAIXA FUNERARIA                                                                                     ,9930
04156,CAIXA GORDURA                                                                                       ,4540
04157,CAIXA INSPEÇÃO                                                                                      ,4540
04158,CAIXA INSTRUMENTAL COMPLETA - USO MEDICO / ODONTO LOGICO                                            ,6545
04159,MALETA MEDICAMENTO                                                                                  ,6515
04160,CAIXA METAL COM TAMPA - USO MEDICO                                                                  ,6515
04161,CAIXA INSTRUMENTAL                                                                                  ,6515
04162,CAIXA                                                                                               ,8115
04163,CAIXA PARA CIGARRO                                                                                  ,9920
04164,CAIXA PARA COMPOSICAO                                                                               ,3610
04165,CAIXA PARA TRANSPORTE DE SAPATO                                                                     ,8115
04166,CAIXA PASSAGEM - SALA ASSEPTICA                                                                     ,6530
04167,CAIXA GUARDA ANIMAIS                                                                                ,8145
04168,ABRIGO MANGUEIRA INCÊNDIO                                                                           ,4210
04169,BOLSA COLETORA DE HEMODERIVADOS                                                                     ,6515
04170,CAIXA PROTETORA EQUIPAMENTO ELETRÔNICO                                                              ,9390
04171,CAIXA PROTETORA HIDRÔMETRO                                                                          ,4510
04172,CAIXA REGISTRADORA                                                                                  ,3550
04173,CAIXA ROLAMENTO BIPARTIDA                                                                           ,3110
04174,CAIXA ROLAMENTO INTEIRIÇA                                                                           ,3110
04175,CAIXA TÉRMICA                                                                                       ,9390
04176,CAIXA TERMINAL ELETRICO                                                                             ,5940
04177,CAIXA DISTRIBUIÇÃO TELEFÔNICA                                                                       ,5940
04178,CAIXA TRANSMISSAO HIDRAULICA - VEICULO AUTOMOTIVO                                                   ,2520
04179,CAIXAO FLUTUANTE ( DOCAS )                                                                          ,1945
04180,CAIXILHO FERRO JANELA / PORTA                                                                       ,5670
04181,CAIXILHO MADEIRA                                                                                    ,5520
04182,CAIXILHO METÁLICO PORTA                                                                             ,5670
04183,CAIXOTE MADEIRA                                                                                     ,8115
04184,CAL HIDRATADA                                                                                       ,5610
04185,"6-METOXI-2,5,7,8-TETRAMETILCROMANO-2-CARBOXILATO                                                    ",6810
04186,CAL SODADA                                                                                          ,6850
04187,CALAMINA                                                                                            ,6505
04188,CALANDRA MANUAL                                                                                     ,3441
04189,CALÇA - RASPA DE COURO ( EPI )                                                                      ,8415
04190,CALÇA FEMININA                                                                                      ,8410
04191,CALCA FIBRA - USO MEDICO / CIRURGICO                                                                ,6532
04192,CALCA IMPERMEAVEL - USO MEDICO                                                                      ,6515
04193,CALÇADEIRA                                                                                          ,8440
04194,CALÇADO CONDUTIVO - MANUTENCAO DE LINHA ENERGIZADA                                                  ,6150
04195,CALÇADO ATLETISMO                                                                                   ,8430
04196,CALÇADO BORRACHA MASCULINO                                                                          ,8430
04197,CALÇADO DE EXPOSICAO SUBMARINA                                                                      ,8430
04198,CALCADO TIPO SEGURANCA                                                                              ,8430
04199,CADEIRA ALIMENTAÇÃO                                                                                 ,8465
04200,CALCADOR / CONDENSADOR USO ODONTOLÓGICO                                                             ,6520
04201,ACALCADOR DE BANDAS - USO ODONTOLÓGICO                                                              ,6520
04202,CALCADOR DE DONALDSON - USO ODONTOLOGICO                                                            ,6520
04203,CALCADOR KERR - USO ODONTOLÓGICO                                                                    ,6520
04204,CALCADOR DUPLO PARA CIMENTO - USO ODONTOLOGICO                                                      ,6520
04205,CALCADOR OBTURAÇÃO PLÁSTICA                                                                         ,6520
04206,ESCAVADOR - USO ODONTOLÓGICO                                                                        ,6520
04207,CALCADOR CANAL - USO ODONTOLÓGICO                                                                   ,6520
04208,CALCADOR PARA PORCELANA - USO ODONTOLOGICO                                                          ,6520
04209,PROTETOR CALCANHAR / COTOVELO                                                                       ,6515
04210,CALCÁRIO                                                                                            ,9620
04211,CALCARIO                                                                                            ,5610
04212,ÁCIDO TRANS-MUCÔNICO                                                                                ,6810
04213,CROMATO DE SÓDIO                                                                                    ,6810
04214,CALCIPOTRIOL                                                                                        ,6505
04215,CALCITONINA SINTÉTICA                                                                               ,6505
04216,CALCITRIOL                                                                                          ,6505
04217,CALCO CAIXA DE MARCHA - VEICULO AUTOMOTIVO                                                          ,2520
04218,CALÇO ROLAMENTO                                                                                     ,3110
04219,CALCULOGRAFO USO GERAL                                                                              ,6645
04220,CALDA                                                                                               ,8925
04221,CALDA DOCE PARA RECHEIO / COBERTURA                                                                 ,8925
04222,"CALDEIRA A VAPOR ( ACIMA DE 1,1 KGF/CM2 DE PRESSAO                                                  ",4410
04223,CALDEIRA GERADORA VAPOR                                                                             ,4520
04224,"CALDEIRA A VAPOR ATE 2,2 KGF/CM2 DE PRESSAO                                                         ",4520
04225,CALDEIRA A VAPOR USO INDUSTRIAL                                                                     ,4410
04226,CALDEIRA DE CHUMBO DE MAQUINA IMPRESSORA GRAFICA                                                    ,3610
04227,CALDEIRA ELÉTRICA / VAPOR - PEÇA / ACESSÓRIO                                                        ,4410
04228,CALDEIRA NAVAL                                                                                      ,4410
04229,CALDEIRA PRE - AQUECEDORA DE ASFALTO                                                                ,3895
04230,CALDEIRAO                                                                                           ,7330
04231,CALDO (VER MEIO DE CULTURA)                                                                         ,6550
04232,BROMETO DE AMÔNIO                                                                                   ,6810
04233,CALDO TEMPERO CULINÁRIO                                                                             ,8935
04234,MISTURA MIT/CMIT                                                                                    ,6850
04235,ÓLEO PARA PULVERIZAÇÃO AGRÍCOLA                                                                     ,6850
04236,CALDO MALONATO - FENILALANINA                                                                       ,6850
04237,CALDO SABOURAUD                                                                                     ,6850
04238,CALDO SELENITO                                                                                      ,6850
04239,CALDO TRIPTICASE                                                                                    ,6850
04240,CALENDÁRIO                                                                                          ,7690
04241,CALHA - USO ORTOPEDICO                                                                              ,6530
04242,CALHA DE ALUMÍNIO                                                                                   ,5670
04243,CALHA FIBRA DE VIDRO                                                                                ,5680
04244,CALHA DE ISOLAMENTO TERMICO DE TUBULACAO                                                            ,5640
04245,CALHA TELHADO                                                                                       ,5670
04246,CALHA DE ZINCO                                                                                      ,5670
04247,CALHA METÁLICA                                                                                      ,5680
04248,PROTETOR CALHA                                                                                      ,5680
04249,CALHA PLASTICA - VEICULO AUTOMOTIVO                                                                 ,2540
04250,CALIBRADOR ALARGADOR TUBO                                                                           ,5210
04251,CALIBRADOR BORDA TUBO                                                                               ,5210
04252,CALIBRADOR BROCA - HELICOIDAL                                                                       ,5210
04253,CALIBRADOR DE ANGULO DE CORTE DE BROCA HELICOIDAL                                                   ,5210
04254,CALIBRADOR DOSE                                                                                     ,5210
04255,CALIBRADOR ESPESSURA TUBO                                                                           ,5210
04256,CALIBRADOR MACHO - HELICOIDAL                                                                       ,5210
04257,CALIBRADOR MONITOR                                                                                  ,7060
04258,CALIBRADOR NÍVEL ÁUDIO - ANALISADOR ESPECTROS                                                       ,6625
04259,CALIBRADOR PASSO BROCA                                                                              ,5210
04260,CALIBRADOR PLAINA                                                                                   ,5210
04261,CALIBRADOR                                                                                          ,4910
04262,CALIBRADOR SUPERFÍCIE                                                                               ,5210
04263,CALIBRADOR TELESCÓPICO                                                                              ,5210
04264,CALIBRE DE ALOJAMENTO                                                                               ,5210
04265,CALIBRE DE ALTURA GRAMINHO                                                                          ,5210
04266,CALIBRE DE ANGULO PARA ARTIFICE                                                                     ,5210
04267,CALIBRE DE ARAME                                                                                    ,5210
04268,CALIBRE DE CARLOPA                                                                                  ,5210
04269,CALIBRE CENTRAGEM FERRAMENTA DE TORNO                                                               ,5210
04270,CALIBRE DE DENTE DE SERRA                                                                           ,5210
04271,CALIBRE DE ESPESSURA                                                                                ,5210
04272,CALIBRE FIXADOR                                                                                     ,5220
04273,CALIBRE MARCHA LENTA DE CARBURADOR                                                                  ,2910
04274,CALIBRE DE MEDIDA EXTERNA                                                                           ,5210
04275,CALIBRE MEDIDA INTERNA                                                                              ,5210
04276,CALIBRE DE MOLA                                                                                     ,5220
04277,CALIBRE DE ORIFICIO CONICO PARA DIAMETRO DE ARAME                                                   ,5210
04278,CALIBRE DE PERFIL                                                                                   ,5220
04279,CALIBRE DE PLAINA                                                                                   ,5210
04280,CALIBRE DE PLAINA MECANICA                                                                          ,5210
04281,CALIBRE DE PONTA DE BROCA                                                                           ,5210
04282,CALIBRE DE PROFUNDIDADE                                                                             ,5210
04283,COMPASSO                                                                                            ,5210
04284,CALIBRE DE RAIO                                                                                     ,5210
04285,CALIBRE DE ROSCA                                                                                    ,5210
04286,MEDIDOR DISTÂNCIA                                                                                   ,5220
04287,CALIBRE DE TRAÇÃO                                                                                   ,5210
04288,CALIBRE DE VIDRACEIRO                                                                               ,5210
04289,CALIBRE ESPECIAL DE INSPECAO                                                                        ,5220
04290,CALIBRE ANEL                                                                                        ,5220
04291,CALIBRE PARA BUJAO                                                                                  ,5220
04292,CALIBRE PARA CURVA EXTERNA                                                                          ,5210
04293,CALIBRE PARA CURVA INTERNA                                                                          ,5210
04294,CALIBRE PARA DIAMETRO DE BROCA HELICOIDAL                                                           ,5210
04295,CALIBRE PARA LINHA DE IMPRESSAO                                                                     ,3610
04296,CALIBRE SELEÇÃO REBITE                                                                              ,5210
04297,CALIBRE VERIFICAR RAIO                                                                              ,5210
04298,CALIBRE PARA VERIFICAR ROSCA                                                                        ,5210
04299,PAQUÍMETRO ESPECIAL                                                                                 ,5220
04300,CÁLICE                                                                                              ,6640
04301,CÁLICE RELIGIOSO                                                                                    ,9925
04302,EXTENSOR INFUSÃO VASCULAR                                                                           ,6515
04303,VISMODEGIBE                                                                                         ,6505
04304,CALORÍMETRO                                                                                         ,6630
04305,CALOTA - VEICULO AUTOMOTIVO                                                                         ,2530
04306,CAMA C/ BALANÇA                                                                                     ,6530
04307,CAMA COMUM                                                                                          ,7105
04308,CAMA ELÁSTICA                                                                                       ,7830
04309,DIMETIL-ACETILENODICARBOXILATO                                                                      ,6810
04310,FUMARONITRILA                                                                                       ,6810
04311,GRADE PARA CAMA FOWLER                                                                              ,6530
04312,"ACESSÓRIO, EQUIP.PARTO HUMANIZADO                                                                   ",6530
04313,CAMA METALICA DE MOLA                                                                               ,7105
04314,CAMA METALICA NAO DOBRAVEL                                                                          ,7105
04315,CAMA METALICA TIPO ESTRADO                                                                          ,7105
04316,CARBONATO DE CÉSIO                                                                                  ,6810
04317,CAMA ORTOPEDICA HOSPITALAR                                                                          ,6530
04318,ÁCIDO LEVULÍNICO                                                                                    ,6810
04319,CAMA RETRÁTIL  (CONSULTAR INC 09621)                                                                ,6545
04320,CAMA RECUPERACAO HOSPITALAR                                                                         ,6530
04321,CAMUFLADOR MINI DOME                                                                                ,5836
04322,CAMARA DE AEROFOTOGRAMETRIA                                                                         ,6720
04323,CAMARA DE AR DE PNEU DE TRATOR E VEICULO DE TERRAPLENAGEM                                           ,2610
04324,CÂMARA AR PNEU - AERONAVE                                                                           ,2620
04325,CAMARA DE CARTOGRAFIA                                                                               ,6720
04326,CÂMARA CLIMÁTICA                                                                                    ,6640
04327,CAMARA DE ESPUMA DE COMBATE A INCENDIO                                                              ,4210
04328,CAMARA DE FILMAGEM - ESGOTO / GALERIA SUBTERRANEA                                                   ,6710
04329,CAMARA DE FILMAGEM - POCO ( AGUA / PETROLEO )                                                       ,6710
04330,CAMARA DE FOTOCOPIADORA                                                                             ,6720
04331,CÂMARA FOTOESTABILIZADA FARMACÊUTICA                                                                ,6640
04332,CAMARA DE MICROFOTOGRAFIA                                                                           ,6720
04333,CÂMARA NEWBAUER                                                                                     ,6640
04334,CAMARA DE RAIO - X ODONTOLOGICO                                                                     ,6525
04335,CAMARA DE RAIO X - USO MEDICO                                                                       ,6525
04336,CAMARA DE REAGENTE                                                                                  ,6640
04337,FTALOCIANINA                                                                                        ,6810
04338,CAMARA ESCURA DE RAIO X TIPO INDUSTRIAL                                                             ,6635
04339,CÂMARA ESCURA FOTOGRAFIA                                                                            ,6780
04340,CÂMARA ESCURA REVELAÇÃO RAIO X                                                                      ,6525
04341,CAMARA FOTOGRAFICA DE AERONAVE                                                                      ,6720
04342,CAMARA FOTOGRAFICA PARA RETINA                                                                      ,6540
04343,CAMARA FOTOGRAFICA SUBMARINA                                                                        ,6720
04344,CÂMARA FRIGORÍFICA PEÇAS / ACESSÓRIOS                                                               ,3590
04345,CAMARA FRIGORIFICA DE LABORATORIO                                                                   ,6640
04346,CÂMARA FRIGORÍFICA MORTUÁRIA                                                                        ,4110
04347,CÂMARA GERMINAÇÃO                                                                                   ,6636
04348,CÂMARA CINTILOGRÁFICA                                                                               ,6525
04349,CÂMARA MICROFILMADORA                                                                               ,6720
04350,CAMARA PARA APARELHO DE ABREUGRAFIA                                                                 ,6525
04351,CÂMARA CONTAGEM DE COLÔNIAS                                                                         ,6640
04352,CÂMARA CONTAGEM                                                                                     ,6640
04353,CAMARA PARA FILME DE REVELACAO E COPIAGEM INSTANTANEA                                               ,6720
04354,CÂMARA SACRIFÍCIO ANIMAL                                                                            ,3770
04355,CÂMARA LABORATÓRIO                                                                                  ,6640
04356,CÂMARA ESCURA REVELAÇÃO                                                                             ,6760
04357,"""CAMARAO PRE - PREPARADO""                                                                           ",8905
04358,CAMINHÃO                                                                                            ,2320
04359,CAMINHÃO ASPERSOR                                                                                   ,3825
04360,CAMINHAO BASCULANTE                                                                                 ,2320
04361,CAMINHAO DE CACAMBA FIXA                                                                            ,2320
04362,CAMINHAO DE CARGA                                                                                   ,2320
04363,CAMINHAO DE TRANSPORTE DE CARGA LIQUIDA                                                             ,2320
04364,CAMINHÃO BASCULANTE                                                                                 ,3805
04365,CAMINHAO ESPECIAL DE CONSTRUCAO PARA ARRASTO                                                        ,3805
04366,CAMINHAO ESPECIAL DE CONSTRUCAO PARA TRANSPORTE DE TERRA                                            ,3805
04367,CAMINHAO TANQUE PARA DISTRIBUICAO DE COMBUSTIVEL                                                    ,2320
04368,CAMIONETA / VEÍCULO - TRANSPORTE PASSAGEIRO                                                         ,2310
04369,CAMIONETA DE TRANSPORTE DE CARGA                                                                    ,2320
04370,CAMIONETA TRANSPORTE PASSAGEIRO E CARGA                                                             ,2320
04371,CAMIONETA FECHADA DE TRANSPORTE DE CARGA ( FURGAO)                                                  ,2320
04372,CAMISA CILINDRO MOTOR DE EMBARCAÇÃO                                                                 ,2815
04373,CAMISA EQUIPAMENTO GRÁFICO                                                                          ,3610
04374,CAMISA DE MOTOR A COMBUSTAO                                                                         ,2805
04375,CAMISA DE TELA DE AMIANTO PARA LAMPIAO                                                              ,6260
04376,CAMISA VIDRO LAMPIÃO                                                                                ,6260
04377,CAMISA DIAGNÓSTICO HOSPITALAR                                                                       ,6532
04378,CAMISA ENDOSCÓPICA*                                                                                 ,6515
04379,CAMISA RESSECTOSCOPIO                                                                               ,6515
04380,CAMISETA                                                                                            ,8415
04381,CAMISOLA - USO HOSPITALAR                                                                           ,6532
04382,CAMOMILA IN - NATURA                                                                                ,8955
04383,CAMPAINHA ELETRICA INDUSTRIAL                                                                       ,6350
04384,CAMPAINHA MANUAL                                                                                    ,6350
04385,CAMPAINHA TELEFÔNICA                                                                                ,5805
04386,CAMPANULA PARA MICROSCOPIO                                                                          ,6640
04387,CAMPÍMETRO                                                                                          ,6540
04388,CAMPIMETRO USO OFTALMOLOGICO                                                                        ,6525
04389,CAMPO ODONTOLÓGICO                                                                                  ,6520
04390,3-(2-BENZOTIAZOLIL)-7-(DIETILAMINO)CUMARINA                                                         ,6810
04391,OCTAETILPORFIRINA DE PLATINA                                                                        ,6810
04392,CANAL DE DADOS                                                                                      ,7050
04393,CANAMICINA                                                                                          ,6810
04394,CANASTRA USO VETERINÁRIO                                                                            ,3770
04395,CANCELA FERROVIÁRIA                                                                                 ,6330
04396,CANDEEIRO                                                                                           ,6260
04397,CANDELABRO                                                                                          ,7290
04398,CANDELABRO RELIGIOSO                                                                                ,9925
04399,IVACAFTOR                                                                                           ,6505
04400,CANECA                                                                                              ,7350
04401,CANECA DE PLÁSTICO                                                                                  ,7350
04402,CANECA DE ACRÍLICO                                                                                  ,7350
04403,FILTRO LABORATÓRIO                                                                                  ,6640
04404,CANECO MEDIDOR / PASSADOR                                                                           ,9545
04405,CANELEIRA                                                                                           ,7810
04406,CANETA - MARCA EVIDÊNCIA                                                                            ,7510
04407,CANETA P/ UNIDADE ELETRO-ELETRÔNICA                                                                 ,6515
04408,CANETA DE MARCAÇÃO - USO MÉDICO                                                                     ,6515
04409,CANETA USO MÉDICO                                                                                   ,6515
04410,CANETA COM TINTA PERFUMADA                                                                          ,7510
04411,CANETA CONTADOR - USO LABORATORIO                                                                   ,6640
04412,CANETA HIDROCOR                                                                                     ,7510
04413,CANETA IRRIGAÇÃO E ASPIRAÇÃO                                                                        ,6540
04414,CANETA DESENHO ARQUITETÔNICO                                                                        ,6675
04415,CANETA PLOTADORA                                                                                    ,6675
04416,CANETA PERMANENTE                                                                                   ,7520
04417,CÂNFORA                                                                                             ,6810
04418,CANGALHA                                                                                            ,3770
04419,PEÇAS / COMPONENTES CANHÃO                                                                          ,1020
04420,CANHÃO DE ÁGUA                                                                                      ,4310
04421,CANHAO MONITOR AGUA - COMBATE A INCENDIO                                                            ,4210
04422,CANHAO MONITOR DE AGUA                                                                              ,4210
04423,CANHAO MONITOR DE AGUA E ESPUMA                                                                     ,4210
04424,CANIVETE ELETRICISTA                                                                                ,5110
04425,CANO DE METAL                                                                                       ,4710
04426,CANO METALÍCO ANCORAGEM POSTE                                                                       ,5680
04427,CANO RIGIDO DE PLASTICO                                                                             ,4710
04428,CANOA COMPETIÇÃO ESPORTIVA                                                                          ,1990
04429,CANOPLA                                                                                             ,4510
04430,CANTARIA - MATERIAL CONSTRUÇÃO                                                                      ,5620
04431,CANTEIRADEIRA / APLICADORA DE ADUBO - USO AGRICOLA                                                  ,3710
04432,CANTONEIRA METAL FERROSO                                                                            ,9520
04433,CANTONEIRA FOTOGRAFIA                                                                               ,6750
04434,CANTONEIRA DE MADEIRA                                                                               ,5520
04435,CANTONEIRA METÁLICA                                                                                 ,9540
04436,CANUDO REFRESCO                                                                                     ,7350
04437,CÂNULA                                                                                              ,6515
04438,CAULIM COLOIDAL                                                                                     ,6505
04439,CAPA ENCADERNAÇÃO                                                                                   ,7510
04440,CAPA VEÍCULO AUTOMOTIVO                                                                             ,2540
04441,CAPA BANCO - VEICULO AUTOMOTIVO                                                                     ,2540
04442,CAPA                                                                                                ,8415
04443,CAPA APARELHO TELEFÔNICO CELULAR                                                                    ,5805
04444,CAPA DE CIRCULADOR DE AR TIPO DOMESTICO                                                             ,4140
04445,CAPA INSTRUMENTO MUSICAL                                                                            ,7710
04446,CAPA DE ROLAMENTO                                                                                   ,3110
04447,CAPA ENCADERNADORA                                                                                  ,7540
04448,CAPA MÁQUINA CALCULAR                                                                               ,7420
04449,CAPA PROCESSO                                                                                       ,7530
04450,CAPA PARA VENTILADOR                                                                                ,4140
04451,CAPA CÂMARA VÍDEO                                                                                   ,5836
04452,CAPACETE MILITAR                                                                                    ,4240
04453,CAPACETE POLICIAL                                                                                   ,4240
04454,CAPACETE OXIGENOTERAPIA                                                                             ,6515
04455,CAPACETE CONDUTOR MOTOCICLETA                                                                       ,4240
04456,CAPACETE NAO PRESSURIZADO - PILOTO                                                                  ,8475
04457,CAPACETE SEGURANCA - SOLDADOR                                                                       ,4240
04458,CAPACHO METALICO                                                                                    ,7220
04459,CAPACITOR FIXO POTÊNCIA                                                                             ,5910
04460,"CAPACITOR DE POTENCIA - TENSAO NOMINAL ACIMA DE 440 V A 1,2 KV                                      ",5910
04461,"CAPACITOR DE POTENCIA - TENSAO NOMINAL ACIMA 1,2 A 7,2 KV                                           ",5910
04462,CAPACITOR DE POTENCIA - TENSAO NOMINAL ATE 440 V                                                    ,5910
04463,CAPACITOR FILTRO DE INTERFERENCIA                                                                   ,5910
04464,CAPACITOR FIXO                                                                                      ,5910
04465,CAPACITOR FIXO A AR ( DIELETRICO )                                                                  ,5910
04466,CAPACITOR FIXO A OLEO                                                                               ,5910
04467,CAPACITOR FIXO A VACUO                                                                              ,5910
04468,CAPACITOR FIXO DE MICA                                                                              ,5910
04469,CAPACITOR FIXO DE PAPEL                                                                             ,5910
04470,CAPACITOR FIXO DE PLASTICO                                                                          ,5910
04471,CAPACITOR FIXO DE QUARTZO                                                                           ,5910
04472,CAPACITOR FIXO DE VIDRO                                                                             ,5910
04473,CAPACITOR PADRAO                                                                                    ,5910
04474,CAPACITOR PARA USO EM ELETRONICA                                                                    ,5910
04475,CAPACITOR PARA USO EM SISTEMA DE POTENCIA                                                           ,5910
04476,CAPACITOR VARIÁVEL PLACA                                                                            ,5910
04477,CAPACITOR VARIAVEL A AR ( DIELETRICO )                                                              ,5910
04478,CAPACITOR VARIAVEL A OLEO                                                                           ,5910
04479,CAPACITOR VARIAVEL A VACUO                                                                          ,5910
04480,CAPACITOR VARIÁVEL CERÂMICO                                                                         ,5910
04481,CAPACITOR VARIAVEL DE MICA                                                                          ,5910
04482,CAPACITOR VARIAVEL DE PAPEL                                                                         ,5910
04483,CAPACITOR VARIAVEL DE PLASTICO                                                                      ,5910
04484,CAPACITOR VARIAVEL DE QUARTZO                                                                       ,5910
04485,CAPACITOR VARIAVEL DE VIDRO                                                                         ,5910
04486,CAPACITOR VARIAVEL PADDERS                                                                          ,5910
04487,CAPACITOR VARIAVEL TRIMMERS                                                                         ,5910
04488,CAPECITABINA                                                                                        ,6505
04489,CAPELA EXAUSTÃO GASES                                                                               ,6640
04490,CAPOTA AUTOMOTIVA                                                                                   ,2510
04491,AVENTAL OU CAPOTE CIRÚRGICO                                                                         ,6515
04492,CAPSAICINA                                                                                          ,6505
04493,CÁPSULA DE EVAPORAÇÃO                                                                               ,6640
04494,CAPSULA DE TOCA - DISCO                                                                             ,5835
04495,CAPSULA E PISTILO AMALGAMADOR                                                                       ,6520
04496,SUPORTE USO HOSPITALAR                                                                              ,6515
04497,CÁPSULA GELATINOSA                                                                                  ,9420
04498,CÁPSULA PORCELANA                                                                                   ,6640
04499,CÁPSULA                                                                                             ,8135
04500,CÁPSULA TELEFONE                                                                                    ,5805
04501,CÁPSULA FILTRAÇÃO USO LABORATÓRIO                                                                   ,6640
04502,CAPTADOR DE AR DO SISTEMA DE PRE - AQUECIMENTO DE MOTOR                                             ,2590
04503,CAPTADOR DE AR DO SISTEMA DE PRE - AQUECIMENTO DO MOTOR                                             ,2930
04504,SUPORTE CALHA                                                                                       ,5680
04505,CAPTOPRIL                                                                                           ,6505
04506,CAPUZ USO SALVAMENTO E SEGURANÇA                                                                    ,4240
04507,CARA IN - NATURA                                                                                    ,8915
04508,CARBACOL                                                                                            ,6505
04509,CARBAMAZEPINA                                                                                       ,6505
04510,CARBAZOCROMO                                                                                        ,6505
04511,CARBOXINA                                                                                           ,6840
04512,ANIDRIDO METILFTÁLICO                                                                               ,6810
04513,ANIDRIDO TRIMETÍLICO                                                                                ,6810
04514,CARBONATO DE LÍTIO                                                                                  ,6810
04515,CARBONATO DE AMÔNIO                                                                                 ,6810
04516,CARBONATO DE BÁRIO                                                                                  ,6810
04517,CARBONATO DE LÍTIO                                                                                  ,6505
04518,CARBONATO DE NÍQUEL                                                                                 ,6810
04519,CARBONATO DE POTÁSSIO                                                                               ,6810
04520,CARBOPLATINA                                                                                        ,6505
04521,L-FUCITOL                                                                                           ,6810
04522,CARBOXIMETILCELULOSE (CMC)                                                                          ,6810
04523,CARBURADOR                                                                                          ,2910
04524,CARBURETO DE SILÍCIO                                                                                ,6810
04525,CARBURADOR DE CORPO DUPLO                                                                           ,2910
04526,CARBURADOR DE CORPO SIMPLES                                                                         ,2910
04527,CARBURADOR DE MOTOR DE AERONAVE                                                                     ,2915
04528,CARBURADOR MOTOR EMBARCAÇÃO                                                                         ,2815
04529,CARBURETO DE CÁLCIO                                                                                 ,6810
04530,CARBONATO DE BISMUTO                                                                                ,6810
04531,CARCACA / CABECOTE  PARA FILTRO DE OLEO                                                             ,2990
04532,CARCACA DE APARELHO TELEFONICO                                                                      ,5805
04533,CARCAÇA BEBEDOURO                                                                                   ,4540
04534,CARCAÇA BOMBA ÓLEO DE MOTOR                                                                         ,2805
04535,CARCAÇA MOTOR DE EMBARCAÇÃO                                                                         ,2815
04536,CARCAÇA DE ROLAMENTO                                                                                ,3110
04537,CARCAÇA VENTOINHA SISTEMA RESFRIAMENTO                                                              ,2805
04538,CARDÁPIO                                                                                            ,7690
04539,CARDIOSCOPIO                                                                                        ,6515
04540,CARDIOTOCÓGRAFO                                                                                     ,6515
04541,GRAMPO - CARGA PARA GRAMPEADOR CIRÚRGICO                                                            ,6515
04542,CARGA DE CANETA ESFEROGRAFICA                                                                       ,7510
04543,CARGA EXTINTOR INCÊNDIO                                                                             ,4210
04544,CARGA RESISTIVA                                                                                     ,5905
04545,COMPONENTES CARIMBO                                                                                 ,7510
04546,CARISOPRODOL                                                                                        ,6505
04547,CARMUSTINA                                                                                          ,6505
